Product Name,EAN,BSKU,Stock,Regular Stock,Graded Stock,Fulfilment,Price (EUR)
Philips Avent - Babyfoon met DECT-verbinding - Audio babyfoon - SCD503/26,8710103877073,2950044185035,6,6,0,FBR,50.40
Yaber K2S Beamer – Projector met Dolby Audio & JBL 2.0 Speakers – 800 ANSI Lumen 1080p Full HD – Android TV (7000+ apps) – Wi-Fi 6/Bluetooth – Draagbare Thuisbioscoop – Zwart,6975710733057,2950115352205,6,6,0,FBR,389.00
Robotstofzuiger met alles-in-één dockingstation - PHILIPS - XU9100/10 - 9000-serie - 8000 Pa,8720389037887,2950099604376,5,5,0,FBR,599.00
BaByliss Super-X Metal 15-in-1 Multigroom MT996E - Tondeuse / Trimmer,3030050165388,2950051749510,5,5,0,FBR,67.00
Philips SpeedPro Max XC7053/01 - Steelstofzuiger,8720389022456,2950064317171,5,0,5,FBR,329.00
iRobot Roomba Plus 505 Combo Robot + Autowash Dock - Robotstofzuiger met Dweilfunctie,5061042263049,2950088003043,4,4,0,FBR,479.00
Garmin Fenix 7 Pro Solar - Smartwatch - Sporthorloge - Zon oplaadbaar,0753759317713,2950065347344,4,4,0,FBR,539.70
Philips 346B1C - QHD Ultrawide Monitor - USB-C 90W - KVM-Switch - 34 Inch,8712581760816,2950112788939,2,0,2,FBR,405.00
Philips 7000 series voor stofzuigen en dweilen,8720389042119,2950104981256,1,1,0,FBR,370.00
Philips Pet Series voerautomaat met camera 4.5 liter grijs (PAW5320/02),8720389038549,2950099380454,1,0,1,FBR,158.99
Ninja Foodi OL650EU Multicooker - 12 Kookfuncties - 7.5 Liter,0622356249973,2950028050687,1,0,1,FBR,309.00
Philips 3000 Series Airfryer - 7.2L - RapidAir Plus - Venster - NA340/00,8720389034435,2950112799263,1,0,1,FBR,149.99
Philips Stoomstrijkijzer DST7020/20 - Zelfreinigend - Verticaal Strijken,8720389015564,2950044479981,1,0,1,FBR,76.00
Sharp UA-PE30E-W Luchtreiniger,4974019162942,2950095823443,1,0,1,FBR,57.98
BISSELL CrossWave HF2 Select - Steelstofzuiger met Dweilfunctie,0011120274035,2950086024927,1,0,1,FBR,168.99
tado Slimme Radiatorknop X – Uitbreidingset 1 Stuk,4260328612040,2950084845197,1,0,1,FBR,80.99
Bosch Indego M 700 Robotmaaier - Voor gazons tot 700 m2,4059952566900,2950058801365,1,1,0,FBR,545.00
HyperX Cloud Alpha Draadloze Gaming Headset - Zwart/Rood,0196188046036,2950068831871,1,0,1,FBR,154.32
Marley Get Together Duo Bluetooth Speaker Draadloos - Boekenplank Speakers,0846885011218,2950053580883,1,0,1,UNKNOWN,-
Philips LatteGo 2300 Serie EP2330/10 - Espressomachine - Zwart,8720389030314,2950052510928,1,0,1,FBR,419.99
TP-Link Archer TX3000E - Draadloze Netwerkadapter - WiFi 6 - Bluetooth,6935364088897,2950029109483,1,0,1,FBR,49.00
Bose QuietComfort Ultra Earbuds - Active Noise Canceling - Zwart,0017817847681,2950078211595,1,1,0,UNKNOWN,-
Philips Cafe Gaia HD7547/80 - Koffiezetapparaat,8710103769200,2950112798624,1,0,1,FBR,75.00
De'Longhi Nespresso Essenza Mini EN85.B - Koffiecupmachine - Zwart,8004399332928,2950053969909,1,0,1,UNKNOWN,-
